rank	word	corpus_count	cumulative_token_gain_pct	suggested_category	root	segmentation	gloss_fil	decision	annotator
1	dios	1256	0.49	proper_noun					
2	ginu	1074	0.91	proper_noun					
3	jehova	958	1.28	proper_noun					
4	ring	660	1.54	pronoun_or_clitic_cluster					
5	tau	557	1.75	particle_or_pronoun					
6	oh	555	1.97	proper_noun					
7	banua	470	2.15	content_word					
8	balayan	400	2.31	content_word					
9	israel	387	2.46	proper_noun					
10	ibpa	353	2.59	content_word					
11	bie	277	2.70	particle_or_pronoun					
12	lagiu	269	2.81	pronoun_or_clitic_cluster					
13	dikil	268	2.91	pronoun_or_clitic_cluster					
14	pabustan	260	3.01	content_word					
15	kayabe	257	3.11	pronoun_or_clitic_cluster					
16	balu	255	3.21	content_word					
17	kaladua	248	3.31	content_word					
18	manibat	246	3.40	content_word					
19	jakob	234	3.49	proper_noun					
20	ari	229	3.58	particle_or_pronoun					
21	lugud	210	3.66	pronoun_or_clitic_cluster					
22	mang	205	3.74	pronoun_or_clitic_cluster					
23	marawak	202	3.82	content_word					
24	meging	200	3.90	pronoun_or_clitic_cluster					
25	siudad	194	3.98	content_word					
26	panaun	187	4.05	content_word					
27	matulid	185	4.12	content_word					
28	maragul	184	4.19	content_word					
29	buri	183	4.26	content_word					
30	ngana	182	4.33	content_word					
31	agpang	181	4.40	content_word					
32	binie	179	4.47	content_word					
33	jose	178	4.54	proper_noun					
34	egipto	177	4.61	proper_noun					
35	dewakan	175	4.68	content_word					
36	bansa	171	4.75	content_word					
37	mika	170	4.81	pronoun_or_clitic_cluster					
38	ume	162	4.88	particle_or_pronoun					
39	kabud	161	4.94	pronoun_or_clitic_cluster					
40	maki	158	5.00	pronoun_or_clitic_cluster					
41	ibie	157	5.06	content_word					
42	taung	151	5.12	content_word					
43	manuknangan	149	5.18	content_word					
44	siwala	148	5.23	content_word					
45	daptan	148	5.29	pronoun_or_clitic_cluster					
46	indu	146	5.35	content_word					
47	abraham	145	5.41	proper_noun					
48	depatan	142	5.46	content_word					
49	mete	140	5.52	pronoun_or_clitic_cluster					
50	dai	125	5.56	particle_or_pronoun					
51	purian	125	5.61	content_word					
52	kilub	124	5.66	pronoun_or_clitic_cluster					
53	pasibayu	124	5.71	content_word					
54	ginung	122	5.76	proper_noun					
55	david	122	5.80	proper_noun					
56	daka	121	5.85	pronoun_or_clitic_cluster					
57	utus	117	5.90	content_word					
58	talasuyu	114	5.94	content_word					
59	aduang	113	5.98	content_word					
60	mibalik	112	6.03	content_word					
61	kautusan	111	6.07	content_word					
62	mate	106	6.11	pronoun_or_clitic_cluster					
63	faraon	105	6.15	proper_noun					
64	dimdam	104	6.19	pronoun_or_clitic_cluster					
65	gewa	102	6.23	content_word					
66	iniang	102	6.27	content_word					
67	bini	98	6.31	content_word					
68	kayanakan	98	6.35	content_word					
69	bye	98	6.39	particle_or_pronoun					
70	deuteronomio	97	6.43	proper_noun					
71	deuteronomy	97	6.46	proper_noun					
72	naka	96	6.50	content_word					
73	mua	96	6.54	particle_or_pronoun					
74	namang	95	6.57	content_word					
75	kaniti	94	6.61	content_word					
76	ukum	93	6.65	content_word					
77	kaluguran	93	6.68	content_word					
78	kapurian	93	6.72	content_word					
79	pakiramdaman	92	6.76	content_word					
80	yan	92	6.79	particle_or_pronoun					
81	niti	91	6.83	content_word					
82	miras	90	6.86	content_word					
83	panalangin	90	6.90	content_word					
84	mangatua	89	6.93	content_word					
85	ping	88	6.97	content_word					
86	kinua	88	7.00	content_word					
87	isaac	88	7.03	proper_noun					
88	padre	88	7.07	content_word					
89	pitung	87	7.10	content_word					
90	inia	87	7.14	content_word					
91	inutus	86	7.17	content_word					
92	tutu	85	7.20	content_word					
93	nanumang	83	7.23	content_word					
94	pamamilatan	83	7.27	content_word					
95	esau	83	7.30	proper_noun					
96	genesis	81	7.33	proper_noun					
97	mabie	81	7.36	content_word					
98	baket	81	7.39	content_word					
99	malyari	80	7.42	content_word					
100	pekapun	80	7.46	content_word					
101	anac	80	7.49	content_word					
102	dayatmalat	79	7.52	content_word					
103	dioses	79	7.55	content_word					
104	salu	76	7.58	content_word					
105	tupa	75	7.61	content_word					
106	maigit	74	7.64	content_word					
107	selah	73	7.66	proper_noun					
108	inaus	71	7.69	content_word					
109	vaka	71	7.72	content_word					
110	tapat	71	7.75	content_word					
111	nganang	70	7.77	content_word					
112	linual	68	7.80	content_word					
113	mibangun	68	7.83	content_word					
114	adua	67	7.85	content_word					
115	maniabi	67	7.88	content_word					
116	dinan	67	7.91	content_word					
117	miniabi	66	7.93	content_word					
118	malyaring	66	7.96	content_word					
119	lubus	66	7.98	content_word					
120	darapat	65	8.01	content_word					
121	babie	64	8.03	content_word					
122	pibandian	64	8.06	content_word					
123	ati	64	8.08	particle_or_pronoun					
124	kubu	63	8.11	content_word					
125	ngara	63	8.13	content_word					
126	mie	62	8.16	particle_or_pronoun					
127	abram	62	8.18	proper_noun					
128	ro	62	8.20	particle_or_pronoun					
129	benjamin	62	8.23	proper_noun					
130	san	62	8.25	proper_noun					
131	mangaragul	61	8.28	content_word					
132	mekad	61	8.30	content_word					
133	abalu	60	8.32	content_word					
134	lual	60	8.35	content_word					
135	pekabuntuk	60	8.37	content_word					
136	kambe	60	8.39	content_word					
137	yng	60	8.42	particle_or_pronoun					
138	judges	59	8.44	proper_noun					
139	menuknangan	58	8.46	content_word					
140	pablasang	58	8.48	content_word					
141	ain	57	8.51	particle_or_pronoun					
142	pagamuamu	57	8.53	content_word					
143	moises	57	8.55	proper_noun					
144	talibung	56	8.57	content_word					
145	yo	55	8.59	particle_or_pronoun					
146	makapatulug	54	8.61	content_word					
147	dininan	54	8.64	content_word					
148	tuparan	54	8.66	content_word					
149	babayi	54	8.68	content_word					
150	diwa	53	8.70	content_word					
151	zion	53	8.72	proper_noun					
152	musiko	53	8.74	content_word					
153	tiagu	53	8.76	content_word					
154	espiritu	52	8.78	content_word					
155	mekibat	52	8.80	content_word					
156	kasakitan	52	8.82	content_word					
157	akilala	52	8.84	content_word					
158	agiang	52	8.86	content_word					
159	milabas	52	8.88	content_word					
160	manakit	51	8.90	content_word					
161	ayanak	50	8.92	content_word					
162	jordan	50	8.94	proper_noun					
163	manintun	50	8.96	content_word					
164	aliua	50	8.98	content_word					
165	malugud	49	9.00	content_word					
166	manalig	49	9.02	content_word					
167	dyos	49	9.04	proper_noun					
168	damasu	49	9.05	content_word					
169	tenyente	49	9.07	proper_noun					
170	daraptan	48	9.09	content_word					
171	sukat	48	9.11	content_word					
172	bunduk-bundukan	48	9.13	content_word					
173	atilu	47	9.15	content_word					
174	menganak	47	9.17	content_word					
175	nanupata	47	9.18	content_word					
176	nakang	47	9.20	content_word					
177	sakit	47	9.22	content_word					
178	munie	47	9.24	content_word					
179	ibarra	47	9.26	content_word					
180	lelangan	46	9.28	content_word					
181	penganak	46	9.29	content_word					
182	migising	46	9.31	content_word					
183	and	46	9.33	content_word					
184	angel	46	9.35	content_word					
185	saka	46	9.37	content_word					
186	sisuan	46	9.38	content_word					
187	menibatan	45	9.40	content_word					
188	panimanman	45	9.42	content_word					
189	banuang	45	9.44	content_word					
190	kalma	45	9.45	content_word					
191	ang	44	9.47	content_word					
192	libis	44	9.49	content_word					
193	poeta	44	9.50	content_word					
194	kabiasnan	43	9.52	content_word					
195	ng	43	9.54	content_word					
196	bungsu	43	9.55	content_word					
197	filisteos	43	9.57	proper_noun					
198	daralan	43	9.59	content_word					
199	rakel	43	9.60	proper_noun					
200	ngaku	43	9.62	content_word					
201	roka	43	9.64	content_word					
202	by	43	9.65	content_word					
203	pepanuanan	42	9.67	content_word					
204	mebie	42	9.69	content_word					
205	katapatan	42	9.70	content_word					
206	pakibat	42	9.72	content_word					
207	efraim	42	9.74	proper_noun					
208	abimelec	42	9.75	proper_noun					
209	leguan	42	9.77	content_word					
210	mibili	41	9.79	content_word					
211	mibait	41	9.80	content_word					
212	noe	41	9.82	proper_noun					
213	simpa	41	9.83	content_word					
214	in	41	9.85	content_word					
215	dening	41	9.86	content_word					
216	on	40	9.88	content_word					
217	ay	40	9.90	content_word					
218	memalen	40	9.91	content_word					
219	sakdal	39	9.93	content_word					
220	patutu	39	9.94	content_word					
221	gideon	39	9.96	proper_noun					
222	jesus	39	9.97	proper_noun					
223	po	39	9.99	content_word					
224	kinanua	38	10.00	content_word					
225	mitalakad	38	10.02	content_word					
226	pepakit	38	10.03	content_word					
227	lijim	38	10.05	content_word					
228	samson	38	10.06	proper_noun					
229	lipulan	37	10.08	content_word					
230	makiramdam	37	10.09	content_word					
231	inawa	37	10.10	content_word					
232	pamanalastas	37	10.12	content_word					
233	manibatan	36	10.13	content_word					
234	menakit	36	10.15	content_word					
235	telakad	36	10.16	content_word					
236	the	36	10.17	content_word					
237	pekiramdaman	36	10.19	content_word					
238	aganaka	36	10.20	content_word					
239	biasa	36	10.22	content_word					
240	daklat	36	10.23	content_word					
241	miragsa	36	10.24	content_word					
242	bukas	36	10.26	content_word					
243	rosa	36	10.27	proper_noun					
244	mga	36	10.29	content_word					
245	gino	35	10.30	proper_noun					
246	gilead	35	10.31	proper_noun					
247	kaligaligan	35	10.33	content_word					
248	komment	35	10.34	proper_noun					
249	dakang	34	10.35	content_word					
250	ammon	34	10.37	proper_noun					
251	puri	34	10.38	content_word					
252	dalung	34	10.39	content_word					
253	lea	34	10.41	proper_noun					
254	leon	34	10.42	content_word					
255	luguran	34	10.43	content_word					
256	maria	34	10.45	content_word					
257	saguli	34	10.46	content_word					
258	pinili	33	10.47	content_word					
259	lot	33	10.49	proper_noun					
260	makapangilabut	33	10.50	content_word					
261	nun	33	10.51	content_word					
262	buring	33	10.52	content_word					
263	dating	33	10.54	content_word					
264	u	33	10.55	content_word					
265	ima	33	10.56	content_word					
266	daung	32	10.58	content_word					
267	subali	32	10.59	content_word					
268	kaniting	32	10.60	content_word					
269	pagkeran	32	10.61	content_word					
270	pilinan	32	10.63	content_word					
271	usuk	32	10.64	content_word					
272	mukami	32	10.65	content_word					
273	eku	32	10.66	content_word					
274	bayintau	32	10.67	content_word					
275	apatapulung	31	10.69	content_word					
276	mitas	31	10.70	content_word					
277	prinsipes	31	10.71	content_word					
278	raka	31	10.72	content_word					
279	pilubluban	31	10.74	content_word					
280	durulukan	31	10.75	content_word					
281	lulual	31	10.76	content_word					
282	pemalagiuwan	31	10.77	content_word					
283	kayatulan	31	10.78	content_word					
284	makanianman	31	10.80	proper_noun					
285	nig	31	10.81	content_word					
286	jehovang	31	10.82	proper_noun					
287	linto	31	10.83	content_word					
288	binye	31	10.84	content_word					
289	don	31	10.86	proper_noun					
290	kareti	30	10.87	content_word					
291	mitagan	30	10.88	content_word					
292	moab	30	10.89	proper_noun					
293	pakibatan	30	10.90	content_word					
294	sikem	30	10.91	proper_noun					
295	angina	30	10.93	content_word					
296	palsintan	30	10.94	content_word					
297	tulid	29	10.95	content_word					
298	menibat	29	10.96	content_word					
299	kitang	29	10.97	content_word					
300	jerusalem	29	10.98	proper_noun					
301	kawatasan	29	10.99	content_word					
302	legwan	29	11.00	content_word					
303	beluan	28	11.02	content_word					
304	minie	28	11.03	content_word					
305	mayupaya	28	11.04	content_word					
306	likuan	28	11.05	content_word					
307	mitipun	28	11.06	content_word					
308	sigatan	28	11.07	content_word					
309	amoreos	28	11.08	proper_noun					
310	asias	28	11.09	content_word					
311	mikasala	28	11.10	content_word					
312	rebeka	28	11.11	proper_noun					
313	kasiran	28	11.12	content_word					
314	peka	28	11.14	content_word					
315	masakit	28	11.15	content_word					
316	bansang	28	11.16	content_word					
317	daun	28	11.17	content_word					
318	jefta	28	11.18	proper_noun					
319	kaladwa	28	11.19	content_word					
320	dalise	28	11.20	content_word					
321	lalto	28	11.21	content_word					
322	ba't	28	11.22	content_word					
323	kamelyo	27	11.23	content_word					
324	sumuyu	27	11.24	content_word					
325	midian	27	11.25	proper_noun					
326	alipan	27	11.26	content_word					
327	kalibakan	27	11.28	content_word					
328	gale	27	11.29	content_word					
329	likwan	27	11.30	content_word					
330	obra	27	11.31	content_word					
331	buac	27	11.32	content_word					
332	lunto	26	11.33	content_word					
333	panlalawe	26	11.34	content_word					
334	na't	26	11.35	content_word					
335	mitubud	26	11.36	content_word					
336	ejersito	26	11.37	content_word					
337	ibalik	26	11.38	content_word					
338	sinuyu	26	11.39	content_word					
339	mimumua	26	11.40	content_word					
340	tapuk	26	11.41	content_word					
341	makipamuk	26	11.42	content_word					
342	nia	26	11.43	content_word					
343	kagutgutan	26	11.44	content_word					
344	lasip	26	11.45	content_word					
345	inge	26	11.46	content_word					
346	kamarinayan	26	11.47	content_word					
347	ku't	26	11.48	content_word					
348	watas	26	11.49	content_word					
349	santu	26	11.50	content_word					
350	kaybat	26	11.51	content_word					
351	aliuang	26	11.52	content_word					
352	aggiang	26	11.53	content_word					
353	silid	25	11.54	content_word					
354	sapni	25	11.55	content_word					
355	dan	25	11.56	proper_noun					
356	kakataskatasan	25	11.57	proper_noun					
357	ulaga	25	11.58	content_word					
