form	segmentation	root	note	source
abakan	abak + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
abatan	abat + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ablasanan	ablas + -anan	anan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
actangan	actang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
aduan	adua + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
aguman	agum + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
akmulan	akmul + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
alakan	alak + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
alanan	ala + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
alangan	alang + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ambun	ambu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
amian	amia + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ampon	ampo + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ampun	ampu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ampunan	ampu + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
angun	angu + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
anianan	ania + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
anyan	anya + -n	n		demoted from roots.tsv: decomposes into a licensed affix plus another headword
apunan	apu + -nan	nan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
aruan	aru + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
asasan	asas + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
asikan	asik + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
atchaanan	atcha + -anan	anan		demoted from roots.tsv: decomposes into a licensed affix plus another headword
atian	ati + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
ausan	aus + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
awakan	awak + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
bagukan	baguk + -an	an		demoted from roots.tsv: decomposes into a licensed affix plus another headword
