variant	canonical	note	source
abluc	amlug	original dictionary spelling	merged from candidate lexicon
ablás	ablas	original dictionary spelling	merged from candidate lexicon
aborciun	aborsiun	original dictionary spelling	merged from candidate lexicon
abrelata	abrilata	original dictionary spelling	merged from candidate lexicon
abreviación	abreviasion	original dictionary spelling	merged from candidate lexicon
abricete	abrisete	original dictionary spelling	merged from candidate lexicon
abrisiete	abrisete	original dictionary spelling	merged from candidate lexicon
absolución	absolusion	original dictionary spelling	merged from candidate lexicon
abstinencia	abstinensia	original dictionary spelling	merged from candidate lexicon
absî	absi	original dictionary spelling	merged from candidate lexicon
aburidu	aburido	original dictionary spelling	merged from candidate lexicon
abú	abu	original dictionary spelling	merged from candidate lexicon
acacia	akasia	original dictionary spelling	merged from candidate lexicon
academia	akademia	original dictionary spelling	merged from candidate lexicon
academic	akademic	original dictionary spelling	merged from candidate lexicon
acal	akal	original dictionary spelling	merged from candidate lexicon
acala	akala	original dictionary spelling	merged from candidate lexicon
acanacan	akanakan	original dictionary spelling	merged from candidate lexicon
acapulco	akapulko	original dictionary spelling	merged from candidate lexicon
acay	akay	original dictionary spelling	merged from candidate lexicon
acayulco	akayulko	original dictionary spelling	merged from candidate lexicon
acbe	akay	original dictionary spelling	merged from candidate lexicon
accidente	acsidente	original dictionary spelling	merged from candidate lexicon
aceite	aseite	original dictionary spelling	merged from candidate lexicon
acerado	aserado	original dictionary spelling	merged from candidate lexicon
acero	asero	original dictionary spelling	merged from candidate lexicon
achara	atsara	original dictionary spelling	merged from candidate lexicon
achuete	atsuiti	original dictionary spelling	merged from candidate lexicon
acibar	asibar	original dictionary spelling	merged from candidate lexicon
acido	asido	original dictionary spelling	merged from candidate lexicon
aclamación	aclamasion	original dictionary spelling	merged from candidate lexicon
aclis	ac-clis	original dictionary spelling	merged from candidate lexicon
acmus	agmus	original dictionary spelling	merged from candidate lexicon
acolito	akolito	original dictionary spelling	merged from candidate lexicon
acpâ	acpa	original dictionary spelling	merged from candidate lexicon
acsibal	asibar	original dictionary spelling	merged from candidate lexicon
acsidenti	acsidente	original dictionary spelling	merged from candidate lexicon
acsing	atsing	original dictionary spelling	merged from candidate lexicon
actangan	actang	original dictionary spelling	merged from candidate lexicon
actu	acto	original dictionary spelling	merged from candidate lexicon
actung	actug	original dictionary spelling	merged from candidate lexicon
acu	aku	original dictionary spelling	merged from candidate lexicon
acua	akua	original dictionary spelling	merged from candidate lexicon
acut	akut	original dictionary spelling	merged from candidate lexicon
acû	aku	original dictionary spelling	merged from candidate lexicon
adete	aseite	original dictionary spelling	merged from candidate lexicon
adiós	adios	original dictionary spelling	merged from candidate lexicon
administración	administrasion	original dictionary spelling	merged from candidate lexicon
adolescente	adolessente	original dictionary spelling	merged from candidate lexicon
adoración	adorasion	original dictionary spelling	merged from candidate lexicon
aeta	reta	original dictionary spelling	merged from candidate lexicon
afectu	afecto	original dictionary spelling	merged from candidate lexicon
afición	afision	original dictionary spelling	merged from candidate lexicon
africa	afrika	original dictionary spelling	merged from candidate lexicon
africano	afrikano	original dictionary spelling	merged from candidate lexicon
afritada	fritada	original dictionary spelling	merged from candidate lexicon
agcas	agkas	original dictionary spelling	merged from candidate lexicon
agcat	agkat	original dictionary spelling	merged from candidate lexicon
agmus	acmus	original dictionary spelling	merged from candidate lexicon
agricultor	agrikultor	original dictionary spelling	merged from candidate lexicon
agricultura	agrikultura	original dictionary spelling	merged from candidate lexicon
agtaca	agtaka	original dictionary spelling	merged from candidate lexicon
agtâ	agta	original dictionary spelling	merged from candidate lexicon
aguacil	aguasil	original dictionary spelling	merged from candidate lexicon
aguho	agusu	original dictionary spelling	merged from candidate lexicon
al-luâ	al-lua	original dictionary spelling	merged from candidate lexicon
ala	wala	original dictionary spelling	merged from candidate lexicon
alac-alacan	alac-alakan	original dictionary spelling	merged from candidate lexicon
alacac	alakac	original dictionary spelling	merged from candidate lexicon
alacran	alacdan	original dictionary spelling	merged from candidate lexicon
alanğanin	alanganin	original dictionary spelling	merged from candidate lexicon
alanğatdu	alangatdu	original dictionary spelling	merged from candidate lexicon
alanğe	alange	original dictionary spelling	merged from candidate lexicon
alatá	alata	original dictionary spelling	merged from candidate lexicon
alatâ	alata	original dictionary spelling	merged from candidate lexicon
alauâ	alaua	original dictionary spelling	merged from candidate lexicon
alcaldeza	alkaldeza	original dictionary spelling	merged from candidate lexicon
alcaldi	alkaldi	original dictionary spelling	merged from candidate lexicon
alcancia	alkansia	original dictionary spelling	merged from candidate lexicon
alcohol	alkohol	original dictionary spelling	merged from candidate lexicon
alcontado	alkontado	original dictionary spelling	merged from candidate lexicon
alcus	alkus	original dictionary spelling	merged from candidate lexicon
alea	ale	original dictionary spelling	merged from candidate lexicon
