entry_id,kapampangan_word,kapampangan_word_normalized,english_gloss_short,english_gloss_raw,original_word,variants_original,variants_normalized,source_name,source_url,dataset_role,quality_tier,validation_status,notes
local_03a087840e03,,,See the Grammar,See the Grammar.,,,,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_712e9cd06228,ABA,aba,"Noun, delay, prolongation of time","(pp. g, and not a.). Noun, delay, prolongation of time. Active verb, cumaba, manoaba, to prolong, to lengthen. P.1. That which is delayed, like, time, wages, repentance. and of Mi, to become delayed. Miaban aldao, delayed/ put off for many days. Active Mi, Miyabayaba, keep on delaying, Panoayaba, the delay. Also Caba, length. Mi, neutral Cacaba, Quinaba, cumaba, to lengthen, to grow long by itself. Verb of Ma, mababa, meba, maba, to become long. P.1. Icacaba and, that which grows long, or is made long. Verb: Manoaba. P.1. Ipanoaba and The action, Pamanoaba; If there is no case of transition, it is like Panoacaba, or, Panoaba and. The passive prolongation. Adjective, Maba, macaba, manoaba, manoaba ya bitis, He has the legs of a heron / His legs are long like those of a heron. Manoa, here, does not indicate plurality, add this Manða to art.1 of the chap. 9, no. 3, if not to art. 2.",,cacaba; cumaba; icacaba; ipanoaba; maba; mababa; macaba; manoaba; meba; miaban; miyabayaba; pamanoaba; panoaba; panoacaba; panoayaba; quinaba,ikakaba; ipanoaba; kakaba; kinaba; kumaba; maba; mababa; makaba; manoaba; meba; miaban; miyabayaba; pamanoaba; panoaba; panoakaba; panoayaba,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_f802356eb1b2,ABAD,abad,"Defective root, e miabad, unceasing","(pp.) Defective root, e miabad, unceasing. Also, if I complain that your servant has not paid me back what I lent/loaned him, you will answer, Abadmo ya casi? You should not have trusted that person, he is too astute/cunning. Also, if you come in haste and I say:you are a ray of agility, the servant answers. Abadmoco casing tubudtuburan? There is no one you could send on an errand other than myself, only a fool could be treated this way.",,abadmo; abadmoco; miabad,abadmo; abadmoko; miabad,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_f802356eb1b2,ABAD,abad,"Defective root, e miabad, unceasing","(pp.) Defective root, e miabad, unceasing. Also, if I complain that your servant has not paid me back what I lent/loaned him, you will answer, Abadmo ya casi? You should not have trusted that person, he is too astute/cunning. Also, if you come in haste and I say:you are a ray of agility, the servant answers. Abadmoco casing tubudtuburan? There is no one you could send on an errand other than myself, only a fool could be treated this way.",,abadmo; abadmoco; miabad,abadmo; abadmoko; miabad,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_539f6e24ada6,ABAGAT,abagat,Noun,"Noun. Violent wind coming from the sea. Abagatan, the South, or winds coming from the south.",,abagatan,abagatan,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_baaeab59a3e2,ABAK,abak,"The time of the day, from dawn till noon","(pp.) The time of the day, from dawn till noon. Bucas abac, tomorrow morning; bucas cayabacan, early tomorrow; bucas caya-yabacan, (superlative of Ca), tomorrow at the earliest hour of the morning. Active verb: to eat lunch (which to the natives is 9 to 10 A.M.), to eat at such an hour is called capamanabac, ca indicates a fixed time in the morning. It admits several suppositions, as in manabacayo, to lunch together; it can connote literal relationships, manabac ca careang caponmo, you take lunch with your family/friends; manabac-nabac, to eat here, or eat there on the same morning; and also that which takes place throughout the mornings, like, buying or selling. P.1. and 3. what is eaten at such an hour. Also, with the same variations, it means to do something in the morning v.g. Inabacanco ing pamangaloco, I began to work or have worked from the morning, / Pepabacan moco, and; Note that Manabac, in this second sense, is to work v.g, only in the morning, and not through the afternoon.",ABAC,capamanabac; caya-yabacan; cayabacan; inabacanco; manabac; manabac-nabac; manabacayo; pepabacan,inabakanko; kapamanabak; kaya-yabakan; kayabakan; manabak; manabak-nabak; manabakayo; pepabakan,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_2bc439d86f79,ABAKA,abaka,"Noun, hemp","Noun, hemp. Verb form: to gather /obtain this hemp.",ABACA,,,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_f5ef3adb82c1,ABAL,abal,Adj,"(ag.) Adj., woven. Active verb and its infinitive. To weave. P.1, ing panabal, ing pamanabal, the instrument, the loom or motive. P.2. ing inabal o inabalan, the clothing. P..3. ing piabalan, Pi and an, the place; the passives are expressed with a syncope, panablan, inablan, piablan, and without it.",,inabal; inabalan; inablan; pamanabal; panabal; panablan; piabalan; piablan,inabal; inabalan; inablan; pamanabal; panabal; panablan; piabalan; piablan,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_937251f376fa,ABALA,abala,"Noun, disruption, impediment","(pp.) Noun, disruption, impediment. Active verb, and its infinitive, to disturb or to impede. P.1. that with which; P.3 to whom, with a suffix n, it is not said, inabalan, but inabalanan moco, and thus, Cabalanan, not cabalan and;. Mangabala, mengabala, one who is disturbed or impeded. P.1. the motive; 3. that in which, Verb of Ma, to become occupied with, or impeded by, its Passive of ca, the object of its occupation or impedance,and from this evolves, that abala, means, the dance, the occasion, function, or celebration, because all these imply being occupied with, or impeded by the attention given to the affair or the guests. Mi, miabala, maquiabala, with the company of celebrators. Pamiabala, the celebration, Mi, transitive, miabala, the one celebrating; P.3 the honoree for the ball, the dinner, the fiesta or celebration. Cayabalanan or Pangayabala, abstract.",,cabalanan; cayabalanan; inabalanan; mangabala; maquiabala; mengabala; miabala; pamiabala; pangayabala,inabalanan; kabalanan; kayabalanan; makyabala; mangabala; mengabala; miabala; pamyabala; pangayabala,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
local_80de80a84b47,ABANG,abang,"Noun, Trap or snare used in catching fish","Noun, Trap or snare used in catching fish. Active verb, mabang, to set the trap, or to entrap. P.3. Yayabangan / yayabangnan, the place or end, which sees the action, like, the fish caught, brings the concept of waiting.",,mabang; yayabangan; yayabangnan,mabang; yayabangan; yayabangnan,keithmanaloto/kapampangan-dictionary-embeddings,https://huggingface.co/datasets/keithmanaloto/kapampangan-dictionary-embeddings,extended_lexicon_for_tokenizer_and_manual_curators,medium,needs_linguist_review,Original gloss text can be dictionary-style and noisy; prefer manual review before use as gold data.
